2026-004,github::reproducible-agile/reviews-2026|reports/007,conference,AGILEGIS,186
2026-005,github::reproducible-agile/reviews-2026|reports/008,conference,AGILEGIS,186
2026-006,osf::zpurt,conference,AGILEGIS,186
2026-007,github::reproducible-agile/reviews-2026|reports/012,conference,AGILEGIS,186
2026-008,github::reproducible-agile/reviews-2026|reports/013,conference,AGILEGIS,186
2026-009,osf::kcpze,conference,AGILEGIS,186
2026-010,github::reproducible-agile/reviews-2026|reports/016,conference,AGILEGIS,186
2026-011,github::reproducible-agile/reviews-2026|reports/017,conference,AGILEGIS,186
2026-012,osf::bv4mk,conference,AGILEGIS,186
2026-013,osf::hetv8,conference,AGILEGIS,186
2026-014,github::reproducible-agile/reviews-2026|reports/026,conference,AGILEGIS,186
2026-015,github::reproducible-agile/reviews-2026|reports/029,conference,AGILEGIS,186
2026-016,github::reproducible-agile/reviews-2026|reports/031,conference,AGILEGIS,186
2026-017,github::reproducible-agile/reviews-2026|reports/033,conference,AGILEGIS,186
